id,sifra,naziv,kolicina,cena_bezpdv,vrednost_bezpdv,cena_sapdv,vrednost_sapdv,subcategories,boja,my_id,brend,slka
2,100101,UGRADNI KAMIN FKU,0,520.6612,0,630,0,Ugradni aspiratori,,,,
3,100102,KAMIN RUSTIK A,0,385.12,0,466,0,Peći,,,,
5,100104,Djeciji set  2/1 Bambi ZH-8373,0,10.6612,0,12.9,0,Stono posuđe,,,,
6,100105,CJEDALJKA ZA LIMUN FA-5226,0,13.2231,0,16,0,Aparati za hranu,,,,
7,100106,Vokmen Panasonic RQ-E27V,0,5.7851,0,7,0,Audio plejeri,,,,
11,100110,"PRODUZNO KABLO 1,4 M/3",0,4.876,0,5.9,0,Kablovi,,,,
12,100111,Slus. Pioneer SE-CL502-P,0,7.438,0,9,0,Slušalice,,,,
13,100112,Slus.Pioneer SE-CL502 W,0,7.438,0,9,0,Slušalice,,,,
15,100114,PEC ELITA 3 ECO SL,0,362.8099,0,439,0,Peći,,,,
16,100115,Porc.Etazer 2/1-285 /284,0,7.8512,0,9.5,0,Stono posuđe,,,,
17,100116,Slus.Pioneer SE-CL502T-K,0,14.0496,0,17,0,Slušalice,,,,
18,100117,Slus.Pioneer SE-CL502 K,0,8.6777,0,10.5,0,Slušalice,,,,
20,100119,Pekac Lux 26 sa pokl.cooking,0,37.1901,0,45,0,Pekači,,,,
30,100129,Fen HT 8831 Vox,0,8.2562,0,9.99,0,Fenovi,,,,
31,100130,Fen HT 8836 Vox,0,19.0083,0,23,0,Fenovi,,,,
34,100133,Etazer BR 382 2/1 fiser,0,9.09,0,11,0,Stono posuđe,,,,
35,100134,Du.serpa stand.22 sa pokl.tackice,0,15.6198,0,18.9,0,Posuđe za pripremu hrane,,,,
39,100138,Al.tiganj 28 ljubicasti,0,11.7355,0,14.2,0,Posuđe za pripremu hrane,,,,
41,100140,Mesor.R 705 G Gorenje,0,70.17,0,84.91,0,Aparati za hranu,,,,
46,100145,Tjelesna vaga PW 436-1 Vox,0,11.5702,0,14,0,Vage,,,,
48,100147,PEC ELITA 3 ECO Antracit,0,362.8099,0,439,0,Peći,,,,
51,100150,Mesoreznica R-506 E Gorenje,0,72.7273,0,88,0,Aparati za hranu,,,,
52,100151,MESOR.R 706 A,0,92.562,0,112,0,Aparati za hranu,,,,
55,100154,MESOREZNICA R 606 E,0,60.2479,0,72.9,0,Aparati za hranu,,,,
57,100156,MLIN ZA ORAHE,0,9.8347,0,11.9,0,Mlinovi,,,,
58,100157,SET FI  160 BIJELI,0,101.65,0,123,0,Stono posuđe,,,,
59,100158,Tjelesna vaga PW 520 A bijela-plava,0,16.5289,0,20,0,Vage,,,,
61,100161,KVARCNA GRIJALICA FISER FS 811,0,20.6612,0,25,0,Grijalice,,,,
62,100162,MIKSER M 701 W Gorenje,0,48.76,0,59,0,Mikser,,,,
64,100164,PEGLA GORENJE SIT2200VS,0,32.1488,0,38.9,0,Pegle,,,,
65,100165,Usisivac SL- 159 gold Vox posuda,0,48.76,0,59,0,Usisivači,,,,
66,100166,Mikser FA-5257-1 First sa posudom,0,33.8843,0,41,0,Mikser,,,,
69,100169,Usisivac SL 212 Vox,0,19.8347,0,24,0,Usisivači,,,,
72,100172,Klima Sinclair 18 Marvin,0,32.98,0,39.91,0,Klime,,,,
74,100174,Kuh.robot KR9703 Vox,0,69.4215,0,84,0,Aparati za hranu,,,,
75,100175,Porc.set za kolace 6/1-2884/2877,0,8.6777,0,10.5,0,Stono posuđe,,,,
77,100177,SUSAC SUDJA BR 39,0,14.876,0,18,0,Posuđe za pripremu hrane,,,,
78,100178,MIKSER ZA NES KAFU FS 410,0,9.9174,0,12,0,Mikser,,,,
79,100179,Kabal za telefon 3 m,0,1.2397,0,1.5,0,Mobilni telefoni,,,,
80,100180,GAJTAN ZA KASETOF.,0,1.9421,0,2.35,0,Stono posuđe,,,,
82,100182,Frizider NRS9182MB Gorenje,0,647.93,0,784,0,Frižideri,,,,
85,100186,FEN ZA KOSU FISER FS 44,0,24.7934,0,30,0,Fenovi,,,,
86,100187,SAMOT VELIKI BOCNI ZA R 46,0,4.1322,0,5,0,Peći,,,,
87,100188,SAMOT MANJI BOCNI ZA R 46,0,3.3058,0,4,0,Peći,,,,
90,100191,Porc set za kafu 6/1 2242/2235,0,9.8347,0,11.9,0,Aparati za kafu,,,,
94,100195,Frizider KS 1461 F Vox,0,155.3719,0,188,0,Frižideri,,,,
96,100197,SIJALICA  Led 100 W Philips,0,5.124,0,6.2,0,Ostalo,,,,
97,100198,VIVAX MIKSER-SJECKALICA BL-351,0,20.6612,0,25,0,Mikser,,,,
98,100199,Baterija Coin LM 2032 Duracell,0,0.8264,0,1,0,Baterije,,,,
100,100201,"Led sijal.11,5W/A60/865",0,2.8926,0,3.5,0,Ostalo,,,,
14,100113,ARINA 1220,0,416.5289,0,504,0,Ostalo,,,,
101,100202,Sijalica za frizider T25/E14,0,1.2397,0,1.5,0,Frižideri,,,,
102,100203,Led sijal.9W/A60/865,0,2.3967,0,2.9,0,Ostalo,,,,
106,100208,Stucna FI 160 bijela Anko,0,6.1983,0,7.5,0,Dimne cijevi,,,,
107,100209,Cetka za kosu CF9530FO Rowenta,0,74.3802,0,90,0,Stajleri i prese za kosu,,,,
109,100211,Ugr.masina za ves WFLB-140816B Vivax,0,277.6859,0,336,0,Veš mašine,,,,
110,100212,MIKSER M701B,0,51.2397,0,62,0,Mikser,,,,
112,100214,Usisivac VC 2221ESW Gorenje,0,59.5041,0,72,0,Usisivači,,,,
113,100215,Usisivac VC 2021 PSBKBU  Gorenje,0,65.2893,0,79,0,Usisivači,,,,
115,100217,Usisivac VC 2221 PSBKR Gorenje,0,68.595,0,83,0,Usisivači,,,,
117,100219,Usisivac VC1901GACRCY Gorenje,0,65.2893,0,79,0,Usisivači,,,,
118,100220,Toster TO 01102 Vox,0,15.2893,0,18.5,0,Pekači,,,,
119,100221,USISIVAC FISER FJ 114,0,61.9835,0,75,0,Usisivači,,,,
120,100222,"KESE ZA USIS.1410,2408,3408",0,0.8264,0,1,0,Usisivači,,,,
123,100225,Zadnji filter SL 123,0,0.8264,0,1,0,Filteri,,,,
134,100237,Mikser M420CW Gorenje,0,30.58,0,37,0,Mikser,,,,
137,100241,Dell Inspiron 3582 15.6 N5000 crveni,0,335.5372,0,406,0,Laptop računari,,,,
138,100242,BOJLER ARISTON 50L,0,84.2149,0,101.9,0,Bojleri,,,,
139,100243,Komb.frizider RF 3121PW4 Gorenje,0,201.6529,0,244,0,Frižideri,,,,
