15,100114,PEC ELITA 3 ECO SL,0,362.8099,0_2,439,0_3,Peći,Bez rasporeda po brendovima,/images/products/15_pec_elita_3_eco_sl.jpg,Vrsta aparata\\\\\\\\nPeći\\\\\\\\nVrsta goriva\\\\\\\\nDrvo\\\\\\\\nSnaga\\\\\\\\n8 kW\\\\\\\\nBoja\\\\\\\\nSlonova kost\\\\\\\\nPozicija dimne cevi\\\\\\\\nGore\\\\\\\\nspecifikacije\\\\\\\\nPovršina zagrevanja\\\\\\\\n51 m2\\\\\\\\nŠirina peći\\\\\\\\n45\\\\\\\\5 cm\\\\\\\\nDubina peći\\\\\\\\n44\\\\\\\\2 cm\\\\\\\\nVisina peći\\\\\\\\n86\\\\\\\\5 cm\\\\\\\\nEnergetski razred\\\\\\\\nA+\\\\\\\\nTežina\\\\\\\\n97.00 kg
3471,103861,Sporet Beko FSS 6600 GW,0,206.6116,0,250,0,Električni šporeti,Beko,/images/products/3471_sporet_beko_fss_6600_gw.jpg,Energetska klasa: AElektrični šporet sa 4 ringleZapremina rerne: 66 lDimenzije: (ŠxVxD) 60 cm x 85 cm x 60 cmElektrični grilPečenje uz pomoć ventilatora\\\\\\\\nBezbednostPuno staklo na vratima (fiksirano)BojaBelaŠirina60Visina85Dubina60FiokaNeFunkcije i karakteristikePečenje uz pomoć ventilatora Električni gril Tiho grilovanje sa ventilatoromKomforMehaničke kontroleModelBEKO FSE 66000 GWMogućnost povezivanja na gasovodNeNačini grejanja rerne6 funkcija pečenja Donji grejač Grill Brzo zagrevanje rerne (Booster funkcija)Osvetljenje rerne1 x okrugla lampa (zadnja)Polja za kuvanje4 Ringle Prednja leva Ø(cm): 18 Prednja desna Ø(cm): 15 Zadnja leva Ø(cm): 15 Zadnja desna Ø(cm): 18Pribor1 x standardni pleh 1 x standardna žičana policaTežina46\\\\\\\\
1060,101189,Ugr.M/S GV 631E60 Gorenje,0,280.1653,0,339,0,Mašine za pranje suđa,Gorenje,/images/products/1060_ugr_m_s_gv_631e60_gorenje.jpg,Ugradna mašina za sudove sa mogućnošću odloženog starta do 24 h\\\\\\\\nVeliki kapacitet punjenja od 13 kompleta\\\\\\\\nKapacitet punjenja\\\\\\\\nSpaceComfort - 13 kompleta\\\\\\\\nDimenzije (ŠxVxD)\\\\\\\\n59\\\\\\\\
1796,101966,EXP.LONAC 9L METALAC,0,107.438,0,130,0,Posuđe za pripremu hrane,Bez rasporeda po brendovima,/images/products/1796_exp_lonac_9l_metalac.jpg,Karakteristike Dno sa termo ćelijama Dugo zadržava topolotu Zapremina: 7 L Lonac je od nerđajućeg čelika. U dnu lonca je aluminijumska kapsula.\\\\\\\\nEkspres lonac Materijal Nerđajući čelik Ručka od aluminijuma - Lako se otključava i zaključava - Višestruki faktori sigurnosti - Ne koristiti grubu četku za cišćenje Zapremina 7 l ...
982,101110,Escajg  24/1 BR 193 Fiser,0,28.9256,0,35,0,Stono posuđe,Fisher,/images/products/982_escajg__24_1_br_193_fiser.jpg,failed
901,101027,Ugr.aspirator ERA GR/A/52 Elica,0,42.98,0,52.01,0,Ugradni aspiratori,Bez rasporeda po brendovima,/images/products/901_ugr_aspirator_era_gr_a_52_elica.jpg,Samostalni klasični aspiratoriUgradni aspiratoriDekorativni zidni aspiratoriCentralni ostrvski aspiratoriPlafonski aspiratoriUgaoni aspiratoriUgradni u radnu pločuAspirator sa pločom za kuvanjeDodaci za ugradnju aspiratora\\\\\\\\nŠirina: 53\\\\\\\\
924,101051,FILTER ZA 1500 EA CIKLON,0,3.9669,0,4.8,0,Filteri,Bez rasporeda po brendovima,/images/products/924_filter_za_1500_ea_ciklon.jpg,failed
1846,102019,DUB.SERPA MET.LIGHT 20 STAK.PO.,0,15.3719,0,18.6,0,Posuđe za pripremu hrane,Bez rasporeda po brendovima,/images/products/1846_dub_serpa_met_light_20_stak_po_.jpg,Povratak\\\\\\\\nBezalkoholna pića\\\\\\\\nVoda\\\\\\\\nGazirana pića\\\\\\\\nNegazirana pića\\\\\\\\nEnergetska pića\\\\\\\\nDodatne informacije:\\\\\\\\nPromjer: 20 cm; Zapremina: 4\\\\\\\\
1858,102032,AL.TEFAL DJUVECARA 36 MAGIJA,0,11.157,0,13.5,0,Posuđe za pripremu hrane,Tefal,/images/products/1858_al_tefal_djuvecara_36_magija.jpg,Zapremina        1\\\\\\\\
3815,104240,Pec na pelet LUCA 12 crvena,0,1239.6694,0,1500,0,Peći na pelet,Bez rasporeda po brendovima,/images/products/3815_pec_na_pelet_luca_12_crvena.jpg,Vrsta goriva\\\\\\\\nPelet\\\\\\\\nSnaga\\\\\\\\n12 kW\\\\\\\\nBoja\\\\\\\\nCrvena\\\\\\\\nPozicija dimne cevi\\\\\\\\nPozadi\\\\\\\\nVrsta aparata\\\\\\\\nStandardni\\\\\\\\nKapacitet rezervoara za pelet\\\\\\\\n28kg\\\\\\\\nZapremina zagrevanja\\\\\\\\n200 m3
1864,102040,Masina za pranje i susenje WD 94141 Gorenje,0,485.9504,0,588,0,Veš mašine,Gorenje,/images/products/1864_masina_za_pranje_i_susenje_wd_94141_gorenje.jpg,Šifra38238\\\\\\\\nBrandGORENJE\\\\\\\\nKapacitet pranja  9 kgKapacitet sušenja  do 6 kgDubina  58.2cmObrtaji centrifuge (o/min)  1400Način punjenja  standardna
